sex,height
F,63
M,69
M,67
M,67
F,65
F,67
M,67
F,70
M,70
F,67
F,64
F,64
F,64
F,67
F,69
F,64
M,67
M,75
F,65
M,72
M,70
M,74
F,72
M,72
M,73
M,68
F,64
M,74
F,68
